CGATS.17

ORIGINATOR	"i1Profiler - X-Rite, Inc."
INSTRUMENTATION	"i1Pro 3 ; Serial number 0"
DESCRIPTOR	"patchs_2871"
FILTER	""
KEYWORD	"DEVCALSTD"
DEVCALSTD	"XRGA"
CREATED		"2020-08-25T10:06:24"

NUMBER_OF_FIELDS	5
BEGIN_DATA_FORMAT
SAMPLE_ID	SAMPLE_NAME	RGB_R	RGB_G	RGB_B	
END_DATA_FORMAT

NUMBER_OF_SETS	2871
BEGIN_DATA
1	"1"	    0.00	    0.00	   28.00	
2	"2"	   28.00	  112.00	   84.00	
3	"3"	  168.00	   56.00	  140.00	
4	"4"	  210.00	  238.00	   42.00	
5	"5"	    0.00	  255.00	  112.00	
6	"6"	   56.00	   84.00	   84.00	
7	"7"	   84.00	  196.00	  196.00	
8	"8"	  255.00	   28.00	  255.00	
9	"9"	   84.00	  168.00	  112.00	
10	"10"	   70.00	  154.00	   98.00	
11	"11"	  182.00	   98.00	   42.00	
12	"12"	  196.00	    0.00	   84.00	
13	"13"	  140.00	  224.00	   84.00	
14	"14"	   98.00	   70.00	  154.00	
15	"15"	  168.00	  168.00	  154.00	
16	"16"	   98.00	   84.00	   98.00	
17	"17"	   56.00	  196.00	  196.00	
18	"18"	  196.00	  112.00	  168.00	
19	"19"	  196.00	  140.00	    0.00	
20	"20"	   56.00	   84.00	   28.00	
21	"21"	  210.00	   70.00	   14.00	
22	"22"	   70.00	   77.00	   70.00	
23	"23"	  255.00	    0.00	   56.00	
24	"24"	  147.00	  140.00	  147.00	
25	"25"	   14.00	   98.00	  210.00	
26	"26"	   70.00	  126.00	  182.00	
27	"27"	   70.00	   70.00	   84.00	
28	"28"	  112.00	    0.00	   56.00	
29	"29"	   21.00	   14.00	   21.00	
30	"30"	   98.00	  126.00	  154.00	
31	"31"	  255.00	  224.00	  224.00	
32	"32"	  182.00	  154.00	  126.00	
33	"33"	  210.00	   14.00	   70.00	
34	"34"	   28.00	   28.00	  140.00	
35	"35"	  140.00	   28.00	  112.00	
36	"36"	  210.00	   14.00	  126.00	
37	"37"	   28.00	   56.00	  255.00	
38	"38"	    7.00	   14.00	    7.00	
39	"39"	  126.00	   98.00	  238.00	
40	"40"	  126.00	   98.00	   70.00	
41	"41"	    0.00	   84.00	  112.00	
42	"42"	   56.00	   42.00	   42.00	
43	"43"	   14.00	  154.00	  154.00	
44	"44"	   14.00	   70.00	   14.00	
45	"45"	    0.00	  112.00	  168.00	
46	"46"	   84.00	  140.00	  168.00	
47	"47"	   14.00	   14.00	  238.00	
48	"48"	  147.00	  154.00	  147.00	
49	"49"	   28.00	   28.00	   56.00	
50	"50"	  168.00	   28.00	  112.00	
51	"51"	   42.00	   56.00	   56.00	
52	"52"	   70.00	  126.00	   98.00	
53	"53"	  154.00	  154.00	   98.00	
54	"54"	  126.00	   42.00	  126.00	
55	"55"	  182.00	  182.00	   98.00	
56	"56"	   14.00	   21.00	   14.00	
57	"57"	   42.00	  154.00	  238.00	
58	"58"	   70.00	  238.00	  154.00	
59	"59"	  210.00	   70.00	  154.00	
60	"60"	   56.00	  168.00	  224.00	
61	"61"	    0.00	   28.00	    0.00	
62	"62"	   42.00	  238.00	   98.00	
63	"63"	  217.00	  210.00	  217.00	
64	"64"	   56.00	   56.00	   28.00	
65	"65"	  238.00	   14.00	  154.00	
66	"66"	   14.00	   28.00	   14.00	
67	"67"	  112.00	  196.00	   28.00	
68	"68"	  182.00	  182.00	  168.00	
69	"69"	   42.00	  182.00	   70.00	
70	"70"	   56.00	  168.00	  140.00	
71	"71"	  112.00	  255.00	   84.00	
