CGATS.17

ORIGINATOR	"i1Profiler - X-Rite, Inc."
INSTRUMENTATION	"i1Pro 2 ; Serial number 0"
DESCRIPTOR	"Chart 522 Patches"
FILTER	""
CREATED		"2020-05-25T13:37:56"

NUMBER_OF_FIELDS	5
BEGIN_DATA_FORMAT
SAMPLE_ID	SAMPLE_NAME	RGB_R	RGB_G	RGB_B	
END_DATA_FORMAT

NUMBER_OF_SETS	522
BEGIN_DATA
1	A1	    0.00	    0.00	    0.00	
2	A2	   36.00	    0.00	    0.00	
3	A3	   72.00	    0.00	    0.00	
4	A4	  109.00	    0.00	    0.00	
5	A5	  145.00	    0.00	    0.00	
6	A6	  182.00	    0.00	    0.00	
7	A7	  218.00	    0.00	    0.00	
8	A8	  255.00	    0.00	    0.00	
9	A9	    0.00	   36.00	    0.00	
10	A10	   36.00	   36.00	    0.00	
11	A11	   72.00	   36.00	    0.00	
12	A12	  109.00	   36.00	    0.00	
13	A13	  145.00	   36.00	    0.00	
14	A14	  182.00	   36.00	    0.00	
15	A15	  218.00	   36.00	    0.00	
16	A16	  255.00	   36.00	    0.00	
17	A17	    0.00	   72.00	    0.00	
18	A18	   36.00	   72.00	    0.00	
19	B1	   72.00	   72.00	    0.00	
20	B2	  109.00	   72.00	    0.00	
21	B3	  145.00	   72.00	    0.00	
22	B4	  182.00	   72.00	    0.00	
23	B5	  218.00	   72.00	    0.00	
24	B6	  255.00	   72.00	    0.00	
25	B7	    0.00	  109.00	    0.00	
26	B8	   36.00	  109.00	    0.00	
27	B9	   72.00	  109.00	    0.00	
28	B10	  109.00	  109.00	    0.00	
29	B11	  145.00	  109.00	    0.00	
30	B12	  182.00	  109.00	    0.00	
31	B13	  218.00	  109.00	    0.00	
32	B14	  255.00	  109.00	    0.00	
33	B15	    0.00	  145.00	    0.00	
34	B16	   36.00	  145.00	    0.00	
35	B17	   72.00	  145.00	    0.00	
36	B18	  109.00	  145.00	    0.00	
37	C1	  145.00	  145.00	    0.00	
38	C2	  182.00	  145.00	    0.00	
39	C3	  218.00	  145.00	    0.00	
40	C4	  255.00	  145.00	    0.00	
41	C5	    0.00	  182.00	    0.00	
42	C6	   36.00	  182.00	    0.00	
43	C7	   72.00	  182.00	    0.00	
44	C8	  109.00	  182.00	    0.00	
45	C9	  145.00	  182.00	    0.00	
46	C10	  182.00	  182.00	    0.00	
47	C11	  218.00	  182.00	    0.00	
48	C12	  255.00	  182.00	    0.00	
49	C13	    0.00	  218.00	    0.00	
50	C14	   36.00	  218.00	    0.00	
51	C15	   72.00	  218.00	    0.00	
52	C16	  109.00	  218.00	    0.00	
53	C17	  145.00	  218.00	    0.00	
54	C18	  182.00	  218.00	    0.00	
55	D1	  218.00	  218.00	    0.00	
56	D2	  255.00	  218.00	    0.00	
57	D3	    0.00	  255.00	    0.00	
58	D4	   36.00	  255.00	    0.00	
59	D5	   72.00	  255.00	    0.00	
60	D6	  109.00	  255.00	    0.00	
61	D7	  145.00	  255.00	    0.00	
62	D8	  182.00	  255.00	    0.00	
63	D9	  218.00	  255.00	    0.00	
64	D10	  255.00	  255.00	    0.00	
65	D11	    0.00	    0.00	   36.00	
66	D12	   36.00	    0.00	   36.00	
67	D13	   72.00	    0.00	   36.00	
68	D14	  109.00	    0.00	   36.00	
69	D15	  145.00	    0.00	   36.00	
70	D16	  182.00	    0.00	   36.00	
71	D17	  218.00	    0.00	   36.00	
72	D18	  255.00	    0.00	   36.00	
73	E1	    0.00	   36.00	   36.00	
74	E2	   36.00	   36.00	   36.00	
75	E3	   72.00	   36.00	   36.00	
76	E4	  109.00	   36.00	   36.00	
