CGATS.17

ORIGINATOR	"i1Profiler - X-Rite, Inc."
INSTRUMENTATION	"i1Pro 2 ; Serial number 1004797"
DESCRIPTOR	"Chart 522 Patches"
MEASUREMENT_SOURCE	"MeasurementCondition=M2	Filter=UVcut"
ILLUMINATION_NAME	"D50"
OBSERVER_ANGLE	"2"
FILTER	"UV"
WEIGHTING_FUNCTION	"ILLUMINANT,	D50"
WEIGHTING_FUNCTION	"OBSERVER,	2 degree"
KEYWORD	"DEVCALSTD"
DEVCALSTD	"XRGA"
CREATED		"2020-05-23T20:32:52"

NUMBER_OF_FIELDS	47
BEGIN_DATA_FORMAT
SAMPLE_ID	SAMPLE_NAME	RGB_R	RGB_G	RGB_B	XYZ_X	XYZ_Y	XYZ_Z	LAB_L	LAB_A	LAB_B	SPECTRAL_NM380	SPECTRAL_NM390	SPECTRAL_NM400	SPECTRAL_NM410	SPECTRAL_NM420	SPECTRAL_NM430	SPECTRAL_NM440	SPECTRAL_NM450	SPECTRAL_NM460	SPECTRAL_NM470	SPECTRAL_NM480	SPECTRAL_NM490	SPECTRAL_NM500	SPECTRAL_NM510	SPECTRAL_NM520	SPECTRAL_NM530	SPECTRAL_NM540	SPECTRAL_NM550	SPECTRAL_NM560	SPECTRAL_NM570	SPECTRAL_NM580	SPECTRAL_NM590	SPECTRAL_NM600	SPECTRAL_NM610	SPECTRAL_NM620	SPECTRAL_NM630	SPECTRAL_NM640	SPECTRAL_NM650	SPECTRAL_NM660	SPECTRAL_NM670	SPECTRAL_NM680	SPECTRAL_NM690	SPECTRAL_NM700	SPECTRAL_NM710	SPECTRAL_NM720	SPECTRAL_NM730	
END_DATA_FORMAT

NUMBER_OF_SETS	522
BEGIN_DATA
1	A1	    0.00	    0.00	    0.00	 0.00294	 0.00306	 0.00287	    2.77	   -0.04	   -0.65	    0.0072	    0.0052	    0.0038	    0.0036	    0.0037	    0.0033	    0.0036	    0.0036	    0.0035	    0.0035	    0.0032	    0.0032	    0.0033	    0.0030	    0.0030	    0.0032	    0.0032	    0.0032	    0.0030	    0.0030	    0.0030	    0.0030	    0.0028	    0.0028	    0.0029	    0.0029	    0.0030	    0.0031	    0.0034	    0.0036	    0.0037	    0.0037	    0.0040	    0.0039	    0.0044	    0.0049	
2	A2	   36.00	    0.00	    0.00	 0.01307	 0.00997	 0.00504	    8.97	   11.58	    5.95	    0.0075	    0.0094	    0.0083	    0.0074	    0.0074	    0.0064	    0.0063	    0.0059	    0.0060	    0.0059	    0.0060	    0.0060	    0.0058	    0.0058	    0.0057	    0.0055	    0.0056	    0.0061	    0.0071	    0.0084	    0.0117	    0.0161	    0.0177	    0.0181	    0.0186	    0.0193	    0.0201	    0.0211	    0.0224	    0.0232	    0.0237	    0.0240	    0.0239	    0.0245	    0.0262	    0.0286	
3	A3	   72.00	    0.00	    0.00	 0.02783	 0.01804	 0.00611	   14.42	   22.24	   13.34	    0.0134	    0.0119	    0.0114	    0.0104	    0.0100	    0.0088	    0.0078	    0.0071	    0.0067	    0.0069	    0.0069	    0.0069	    0.0066	    0.0066	    0.0067	    0.0063	    0.0063	    0.0071	    0.0085	    0.0105	    0.0187	    0.0337	    0.0416	    0.0442	    0.0463	    0.0483	    0.0508	    0.0540	    0.0569	    0.0593	    0.0604	    0.0608	    0.0613	    0.0623	    0.0656	    0.0709	
4	A4	  109.00	    0.00	    0.00	 0.05921	 0.03444	 0.00702	   21.74	   34.58	   24.24	    0.0122	    0.0148	    0.0146	    0.0126	    0.0116	    0.0110	    0.0091	    0.0082	    0.0077	    0.0075	    0.0074	    0.0074	    0.0073	    0.0074	    0.0076	    0.0070	    0.0069	    0.0079	    0.0093	    0.0122	    0.0309	    0.0711	    0.0941	    0.1022	    0.1074	    0.1126	    0.1183	    0.1249	    0.1316	    0.1362	    0.1378	    0.1385	    0.1383	    0.1399	    0.1468	    0.1580	
5	A5	  145.00	    0.00	    0.00	 0.10749	 0.05949	 0.00779	   29.28	   45.45	   35.81	    0.0192	    0.0208	    0.0195	    0.0151	    0.0147	    0.0128	    0.0100	    0.0087	    0.0081	    0.0081	    0.0080	    0.0080	    0.0081	    0.0081	    0.0082	    0.0077	    0.0075	    0.0086	    0.0101	    0.0145	    0.0494	    0.1294	    0.1765	    0.1927	    0.2023	    0.2112	    0.2213	    0.2331	    0.2446	    0.2523	    0.2544	    0.2535	    0.2520	    0.2540	    0.2649	    0.2849	
6	A6	  182.00	    0.00	    0.00	 0.17602	 0.09390	 0.00830	   36.72	   56.38	   47.73	    0.0225	    0.0238	    0.0232	    0.0170	    0.0173	    0.0155	    0.0112	    0.0093	    0.0083	    0.0076	    0.0077	    0.0077	    0.0076	    0.0077	    0.0078	    0.0074	    0.0069	    0.0079	    0.0096	    0.0152	    0.0701	    0.2064	    0.2940	    0.3266	    0.3439	    0.3573	    0.3711	    0.3861	    0.4007	    0.4105	    0.4141	    0.4138	    0.4133	    0.4163	    0.4287	    0.4516	
